ZIP,BAH,Terroritory,MHA
00501,2343,,NY218
00544,2343,,NY218
00601,1368,PR,XX499
00602,1368,PR,XX499
00603,1368,PR,XX499
00604,1368,PR,XX499
00605,1368,PR,XX499
00606,1368,PR,XX499
00610,1368,PR,XX499
00611,1368,PR,XX499
00612,1368,PR,XX499
00613,1368,PR,XX499
00614,1368,PR,XX499
00616,1368,PR,XX499
00617,1368,PR,XX499
00622,1368,PR,XX499
00623,1368,PR,XX499
00624,1368,PR,XX499
00627,1368,PR,XX499
00631,1368,PR,XX499
00636,1368,PR,XX499
00637,1368,PR,XX499
00638,1368,PR,XX499
00641,1368,PR,XX499
00646,1368,PR,XX499
00647,1368,PR,XX499
00650,1368,PR,XX499
00652,1368,PR,XX499
00653,1368,PR,XX499
00656,1368,PR,XX499
00659,1368,PR,XX499
00660,1368,PR,XX499
00662,1368,PR,XX499
00664,1368,PR,XX499
00667,1368,PR,XX499
00669,1368,PR,XX499
00670,1368,PR,XX499
00674,1368,PR,XX499
00676,1368,PR,XX499
00677,1368,PR,XX499
00678,1368,PR,XX499
00680,1368,PR,XX499
00681,1368,PR,XX499
00682,1368,PR,XX499
00683,1368,PR,XX499
00685,1368,PR,XX499
00687,1368,PR,XX499
00688,1368,PR,XX499
00690,1368,PR,XX499
00692,1368,PR,XX499
00693,1368,PR,XX499
00694,1368,PR,XX499
00698,1368,PR,XX499
00703,1368,PR,XX499
00704,1368,PR,XX499
00705,1368,PR,XX499
00707,1368,PR,XX499
00714,1368,PR,XX499
00715,1368,PR,XX499
00716,1368,PR,XX499
00717,1368,PR,XX499
00718,1368,PR,XX499
00719,1368,PR,XX499
00720,1368,PR,XX499
00721,1368,PR,XX499
00723,1368,PR,XX499
00725,1368,PR,XX499
00726,1368,PR,XX499
00727,1368,PR,XX499
00728,1368,PR,XX499
00729,1368,PR,XX499
00730,1368,PR,XX499
00731,1368,PR,XX499
00732,1368,PR,XX499
00733,1368,PR,XX499
00734,1368,PR,XX499
00735,1368,PR,XX499
00736,1368,PR,XX499
00737,1368,PR,XX499
00738,1368,PR,XX499
00739,1368,PR,XX499
00740,1368,PR,XX499
00741,1368,PR,XX499
00742,1368,PR,XX499
00744,1368,PR,XX499
00745,1368,PR,XX499
00751,1368,PR,XX499
00754,1368,PR,XX499
00757,1368,PR,XX499
00765,1368,PR,XX499
00766,1368,PR,XX499
00767,1368,PR,XX499
00769,1368,PR,XX499
00771,1368,PR,XX499
00772,1368,PR,XX499
00773,1368,PR,XX499
00775,1368,PR,XX499
00777,1368,PR,XX499
00778,1368,PR,XX499
00780,1368,PR,XX499
00782,1368,PR,XX499
00783,1368,PR,XX499
00784,1368,PR,XX499
00785,1368,PR,XX499
00786,1368,PR,XX499
00791,1368,PR,XX499
00792,1368,PR,XX499
00794,1368,PR,XX499
00795,1368,PR,XX499
00801,1368,VI,XX499
00802,1368,VI,XX499
00803,1368,VI,XX499
00804,1368,VI,XX499
00805,1368,VI,XX499
00820,1368,VI,XX499
00821,1368,VI,XX499
00822,1368,VI,XX499
00823,1368,VI,XX499
00824,1368,VI,XX499
00830,1368,VI,XX499
00831,1368,VI,XX499
00840,1368,VI,XX499
00841,1368,VI,XX499
00850,1368,VI,XX499
00851,1368,VI,XX499
00901,1368,PR,XX499
00902,1368,PR,XX499
00906,1368,PR,XX499
00907,1368,PR,XX499
00908,1368,PR,XX499
00909,1368,PR,XX499
00910,1368,PR,XX499
00911,1368,PR,XX499
00912,1368,PR,XX499
00913,1368,PR,XX499
00914,1368,PR,XX499
00915,1368,PR,XX499
00916,1368,PR,XX499
00917,1368,PR,XX499
00918,1368,PR,XX499
00919,1368,PR,XX499
00920,1368,PR,XX499
00921,1368,PR,XX499
00922,1368,PR,XX499
00923,1368,PR,XX499
00924,1368,PR,XX499
00925,1368,PR,XX499
00926,1368,PR,XX499
00927,1368,PR,XX499
00928,1368,PR,XX499
00929,1368,PR,XX499
00930,1368,PR,XX499
00931,1368,PR,XX499
00933,1368,PR,XX499
00934,1368,PR,XX499
00935,1368,PR,XX499
00936,1368,PR,XX499
00937,1368,PR,XX499
00939,1368,PR,XX499
00940,1368,PR,XX499
00949,1368,PR,XX499
00950,1368,PR,XX499
00951,1368,PR,XX499
00952,1368,PR,XX499
00953,1368,PR,XX499
00954,1368,PR,XX499
00955,1368,PR,XX499
00956,1368,PR,XX499
00957,1368,PR,XX499
00958,1368,PR,XX499
00959,1368,PR,XX499
00960,1368,PR,XX499
00961,1368,PR,XX499
00962,1368,PR,XX499
00963,1368,PR,XX499
00965,1368,PR,XX499
00966,1368,PR,XX499
00968,1368,PR,XX499
00969,1368,PR,XX499
00970,1368,PR,XX499
00971,1368,PR,XX499
00975,1368,PR,XX499
00976,1368,PR,XX499
00977,1368,PR,XX499
00978,1368,PR,XX499
00979,1368,PR,XX499
00981,1368,PR,XX499
00982,1368,PR,XX499
00983,1368,PR,XX499
00984,1368,PR,XX499
00985,1368,PR,XX499
00986,1368,PR,XX499
00987,1368,PR,XX499
00988,1368,PR,XX499
01001,1620,,MA126
01002,1620,,MA126
01003,1620,,MA126
01004,1620,,MA126
01005,1497,,MA122
01007,1620,,MA126
01008,1620,,MA126
01009,1620,,MA126
01010,1620,,MA126
01011,1620,,MA126
01012,1620,,MA126
01013,1620,,MA126
01014,1620,,MA126
01020,1620,,MA126
01021,1620,,MA126
01022,1620,,MA126
01026,1620,,MA126
01027,1620,,MA126
01028,1620,,MA126
01029,1620,,MA126
01030,1620,,MA126
01031,1497,,MA122
01032,1620,,MA126
01033,1620,,MA126
01034,1620,,MA126
01035,1620,,MA126
01036,1620,,MA126
01037,1497,,MA122
01038,1620,,MA126
01039,1620,,MA126
01040,1620,,MA126
01041,1620,,MA126
01050,1620,,MA126
01053,1620,,MA126
01054,1332,,ZZ810
01056,1620,,MA126
01057,1620,,MA126
01059,1620,,MA126
01060,1620,,MA126
01061,1620,,MA126
01062,1620,,MA126
01063,1620,,MA126
01066,1620,,MA126
01068,1497,,MA122
01069,1620,,MA126
01070,1620,,MA126
01071,1620,,MA126
