unitdid,opeid,Graduation_Rate,GR_Group_Low,GR_Group_LowToMedium,GR_Group_MediumToHigh,GR_Group_High,School_CDR,National_Average_CDR,Median_Total_Borrowing,Median_Monthly_Payment,Institution_Group
100654,00100200,31.7,0,37.3,56.7,100,14.3,13.4,20500,235.91,1
100663,00105200,44.6,0,37.3,56.7,100,5.9,13.4,18750,215.78,1
100690,02503400,0,0,37.3,56.7,100,10.7,13.4,18834,216.74,1
100706,00105500,45.4,0,37.3,56.7,100,6.7,13.4,16595,190.98,1
100724,00100500,26.2,0,37.3,56.7,100,21,13.4,18628,214.37,1
100751,00105100,65.8,0,37.3,56.7,100,5.6,13.4,20250,233.04,1
100760,00100700,23.5,0,17.7,32.2,100,30.6,13.4,8000,92.06,2
100812,00100800,-2,0,37.3,56.7,100,6.4,13.4,13889,159.84,1
100830,00831000,33.3,0,37.3,56.7,100,12.4,13.4,9773,112.47,1
100858,00100900,66.3,0,37.3,56.7,100,6.8,13.4,19000,218.65,1
100937,00101200,61.7,0,37.3,56.7,100,7.2,13.4,20000,230.16,1
101028,01218200,16.1,0,17.7,32.2,100,28.5,13.4,4250,48.91,2
101073,01055400,3.4,0,37.3,56.7,100,41.6,13.4,5500,63.29,1
101116,01303906,10.9,0,17.7,32.2,100,21.5,13.4,9098,104.7,2
101143,00101500,37.7,0,17.7,32.2,100,18.6,13.4,4500,51.79,2
101161,00106000,14.9,0,17.7,32.2,100,20,13.4,5250,60.42,2
101189,00100300,32.7,0,37.3,56.7,100,16.4,13.4,18657,214.71,1
101240,00101700,17.4,0,17.7,32.2,100,0,13.4,,,2
101277,04187200,70.8,0,62.5,77.6,100,,13.4,,,5
101286,00101800,18.9,0,17.7,32.2,100,0,13.4,,,2
101295,00787100,20.7,0,17.7,32.2,100,25.5,13.4,7000,80.56,2
101301,00569900,27.2,0,17.7,32.2,100,0,13.4,,,2
101365,00962107,11.4,0,17.7,32.2,100,13.1,13.4,11399,131.18,2
101435,00101900,51.9,0,37.3,56.7,100,11,13.4,19500,224.41,1
101453,02199700,0,0,37.3,56.7,100,26,13.4,9375,107.89,1
101462,00526000,20.6,0,24.1,50.1,100,0,13.4,,,3
101480,00102000,31.5,0,37.3,56.7,100,13.4,13.4,15125,174.06,1
101499,00102100,30.1,0,17.7,32.2,100,0,13.4,,,2
101505,00102200,11.9,0,17.7,32.2,100,11.1,13.4,3500,40.28,2
101514,00101300,11.4,0,17.7,32.2,100,18.9,13.4,5066,58.3,2
101541,00102300,38,0,37.3,56.7,100,5.4,13.4,12365,142.3,1
101569,00105900,16.7,0,24.1,50.1,100,0,13.4,,,3
101587,00102400,28,0,37.3,56.7,100,11.7,13.4,11779,135.55,1
101602,00898800,26.2,0,17.7,32.2,100,0,13.4,,,2
101648,00102600,31.2,0,17.7,32.2,100,25,13.4,5500,63.29,2
101675,00102800,19.5,0,37.3,56.7,100,21.7,13.4,15576,179.25,1
101693,00102900,43,0,37.3,56.7,100,7,13.4,20000,230.16,1
101709,00100400,43.4,0,37.3,56.7,100,14.3,13.4,15750,181.25,1
101736,00569700,11.7,0,17.7,32.2,100,27.1,13.4,5500,63.29,2
101879,00101600,27.4,0,37.3,56.7,100,14,13.4,11761,135.35,1
101897,00103100,24.2,0,17.7,32.2,100,25,13.4,4000,46.03,2
101912,00103300,35,0,37.3,56.7,100,19.7,13.4,21000,241.67,1
101949,00103400,23.2,0,17.7,32.2,100,0,13.4,,,2
101958,02296000,25,0,17.7,32.2,100,19.4,13.4,7328,84.33,2
101994,00569200,21.4,0,24.1,50.1,100,0,13.4,,,3
102030,00103000,13.9,0,17.7,32.2,100,0,13.4,1308,15.05,2
102049,00103600,70.2,0,37.3,56.7,100,1.1,13.4,24500,281.95,1
102058,04067300,21.4,0,37.3,56.7,100,0,13.4,5000,57.54,1
102067,00569100,8.9,0,17.7,32.2,100,0,13.4,,,2
102076,00103800,30.2,0,17.7,32.2,100,0,13.4,,,2
102094,00105700,38.5,0,37.3,56.7,100,8,13.4,12698,146.13,1
102234,00104100,60.9,0,37.3,56.7,100,7.1,13.4,20000,230.16,1
102261,02270400,17.6,0,37.3,56.7,100,11.4,13.4,20182,232.26,1
102270,00104400,34.5,0,37.3,56.7,100,11.2,13.4,16000,184.13,1
102298,00104600,20,0,37.3,56.7,100,27.6,13.4,14250,163.99,1
102313,00573400,34.8,0,24.1,50.1,100,0,13.4,,,3
102368,00104700,34.7,0,37.3,56.7,100,15.1,13.4,15968,183.76,1
102377,00105000,43,0,37.3,56.7,100,13.1,13.4,23879,274.8,1
102395,02170600,-2,0,37.3,56.7,100,2.9,13.4,16379,188.49,1
102429,00573305,17.3,0,17.7,32.2,100,0,13.4,,,2
102553,01146200,25.3,0,37.3,56.7,100,9.4,13.4,12004,138.14,1
102580,00884300,50,0,37.3,56.7,100,0,13.4,,,1
102614,00106300,30.8,0,37.3,56.7,100,11.6,13.4,11000,126.59,1
102632,00106500,21.3,0,24.1,50.1,100,11.3,13.4,9906,114,3
102669,00106100,46.2,0,37.3,56.7,100,6.4,13.4,22375,257.49,1
102711,03160300,76.5,0,62.5,77.6,100,7.6,13.4,5500,63.29,5
102845,02576900,93.8,0,24.1,50.1,100,17.5,13.4,13000,149.6,3
103361,01146205,8,0,17.7,32.2,100,9.4,13.4,12004,138.14,2
103501,02541000,-2,0,24.1,50.1,100,19.2,13.4,6775,77.97,3
103644,02295000,41.2,0,17.7,32.2,100,29.6,13.4,9500,109.33,2
103723,02160305,40.9,0,37.3,56.7,100,28.6,13.4,21000,241.67,1
103732,01293700,71.4,0,62.5,77.6,100,21.1,13.4,14960,172.16,5
103741,00886500,52.1,0,62.5,77.6,100,14.8,13.4,10556,121.48,5
103778,00107000,-2,0,24.1,50.1,100,2.2,13.4,,,3
103787,02199900,62.5,0,17.7,32.2,100,28.5,13.4,5500,63.29,2
